film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
3727,1973,1482,2,17
3728,1973,1483,2,12
3729,1973,1484,2,13
3730,1973,1485,1,1
3731,1973,1485,2,2
3732,1973,1485,2,17
3733,1973,1486,2,1
3734,1973,1486,2,17
3735,1973,1487,2,3
3736,1973,1487,2,4
3737,1973,1488,2,12
3738,1973,1488,2,15
3739,1973,1489,2,10
3740,1973,1490,2,2
3741,1973,1490,2,3
3742,1973,1490,2,4
3743,1973,1490,2,5
3744,1973,1490,2,6
3745,1973,1490,2,7
3746,1973,1490,2,9
3747,1973,1490,2,10
3748,1973,1490,1,15
3749,1973,1490,1,17
3750,1973,1491,2,1
3751,1973,1491,2,2
3752,1973,1491,2,17
3753,1973,1492,1,2
3754,1973,1492,2,15
3755,1973,1492,2,17
3756,1973,1493,2,1
3757,1973,1493,1,5
3758,1973,1493,1,6
3759,1973,1493,2,7
3760,1973,1493,1,8
3761,1973,1493,1,9
3762,1973,1493,1,10
3763,1973,1493,1,12
3764,1973,1493,2,15
3765,1973,1493,1,17
3766,1973,1494,2,3
3767,1973,1494,2,5
3768,1973,1494,2,7
3769,1973,1494,2,8
3770,1973,1494,1,12
3771,1973,1494,1,13
3772,1973,1495,2,5
3773,1973,1495,2,8
3774,1973,1495,2,12
3775,1974,1496,2,3
3776,1974,1496,2,9
3777,1974,1497,1,3
3778,1974,1497,2,4
3779,1974,1497,2,17
3780,1974,1498,2,13
3781,1974,1499,2,4
3782,1974,1499,2,10
3783,1974,1499,2,13
3784,1974,1500,2,1
3785,1974,1500,2,3
3786,1974,1500,2,5
3787,1974,1500,2,6
3788,1974,1500,2,7
3789,1974,1500,2,8
3790,1974,1500,2,9
3791,1974,1500,2,10
3792,1974,1500,2,12
3793,1974,1500,2,15
3794,1974,1500,1,17
3795,1974,1501,2,3
3796,1974,1502,2,8
3797,1974,1503,2,4
3798,1974,1503,2,9
3799,1974,1503,2,17
3800,1974,1504,2,5
3801,1974,1504,2,7
3802,1974,1504,2,10
3803,1974,1504,1,15
3804,1974,1504,1,16
3805,1974,1505,2,13
3806,1974,1506,1,1
3807,1974,1506,2,17
3808,1974,1507,2,1
3809,1974,1507,2,3
3810,1974,1507,2,6
3811,1974,1507,2,7
3812,1974,1507,2,9
3813,1974,1507,2,17
3814,1974,1508,2,1
3815,1974,1508,1,4
3816,1974,1508,2,7
3817,1974,1508,2,8
