"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"187","1939","Gone with the Wind","2","0","1","1","1","1","1","0","1","1","0","2","0","0","2","0","1","0","0"
"188","1939","Goodbye, Mr. Chips","1","0","2","0","0","2","0","0","2","2","0","0","0","0","2","0","2","0","0"
"189","1939","Gulliver's Travels","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"190","1939","Gunga Din","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"191","1939","Intermezzo","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0"
"192","1939","Juarez","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"193","1939","Lady of the Tropics","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"194","1939","Love Affair","0","0","2","2","2","2","0","0","0","0","0","0","2","0","0","0","2","0","0"
"195","1939","Man of Conquest","0","0","0","0","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"196","1939","Mr. Smith Goes to Washington","2","2","0","0","2","2","0","0","2","2","0","2","0","0","2","0","1","0","0"
"197","1939","Ninotchka","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0"
"198","1939","Nurse Edith Cavell","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"199","1939","Of Mice and Men","0","0","0","0","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0"
"200","1939","Only Angels Have Wings","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"201","1939","Second Fiddle","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"202","1939","She Married a Cop","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
