"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"281",1983,"The Right Stuff","0","1","0","0","0","0","0","1","0"
"282",1983,"The Year of Living Dangerously","0","0","0","0","0","0","1","0","0"
"283",1984,"A Passage to India","0","0","0","0","0","0","1","0","0"
"284",1984,"Amadeus","1","0","1","1","0","0","0","1","0"
"285",1984,"Places in the Heart","0","0","0","0","0","1","0","0","0"
"286",1984,"The Killing Fields","0","1","0","0","1","0","0","0","0"
"287",1984,"The Woman in Red","0","0","0","0","0","0","0","0","1"
"288",1985,"Cocoon","0","0","0","0","1","0","0","0","0"
"289",1985,"Kiss of the Spider Woman","0","0","0","1","0","0","0","0","0"
"290",1985,"Out of Africa","1","0","1","0","0","0","0","1","0"
"291",1985,"Prizzi's Honor","0","0","0","0","0","0","1","0","0"
"292",1985,"The Trip to Bountiful","0","0","0","0","0","1","0","0","0"
"293",1985,"White Nights","0","0","0","0","0","0","0","0","1"
"294",1985,"Witness","0","1","0","0","0","0","0","0","0"
"295",1986,"Children of a Lesser God","0","0","0","0","0","1","0","0","0"
"296",1986,"Hannah and Her Sisters","0","0","0","0","1","0","1","0","0"
"297",1986,"Platoon","1","1","1","0","0","0","0","1","0"
"298",1986,"The Color of Money","0","0","0","1","0","0","0","0","0"
"299",1986,"Top Gun","0","0","0","0","0","0","0","0","1"
"300",1987,"Dirty Dancing","0","0","0","0","0","0","0","0","1"
"301",1987,"Moonstruck","0","0","0","0","0","1","1","0","0"
"302",1987,"The Last Emperor","1","1","1","0","0","0","0","1","0"
"303",1987,"The Untouchables","0","0","0","0","1","0","0","0","0"
"304",1987,"Wall Street","0","0","0","1","0","0","0","0","0"
"305",1988,"A Fish Called Wanda","0","0","0","0","1","0","0","0","0"
"306",1988,"Bird","0","0","0","0","0","0","0","1","0"
"307",1988,"Rain Man","1","0","1","1","0","0","0","0","0"
"308",1988,"The Accidental Tourist","0","0","0","0","0","0","1","0","0"
"309",1988,"The Accused","0","0","0","0","0","1","0","0","0"
"310",1988,"Who Framed Roger Rabbit","0","1","0","0","0","0","0","0","0"
"311",1988,"Working Girl","0","0","0","0","0","0","0","0","1"
"312",1989,"Born on the Fourth of July","0","1","1","0","0","0","0","0","0"
"313",1989,"Driving Miss Daisy","1","0","0","0","0","1","0","0","0"
"314",1989,"Glory","0","0","0","0","1","0","0","1","0"
"315",1989,"My Left Foot","0","0","0","1","0","0","1","0","0"
"316",1989,"The Little Mermaid","0","0","0","0","0","0","0","0","1"
"317",1990,"Dances With Wolves","1","1","1","0","0","0","0","1","0"
"318",1990,"Dick Tracy","0","0","0","0","0","0","0","0","1"
"319",1990,"Ghost","0","0","0","0","0","0","1","0","0"
"320",1990,"Good Fellas","0","0","0","0","1","0","0","0","0"
"321",1990,"Misery","0","0","0","0","0","1","0","0","0"
"322",1990,"Reversal of Fortune","0","0","0","1","0","0","0","0","0"
"323",1991,"Beauty and the Beast","0","0","0","0","0","0","0","0","1"
"324",1991,"City Slickers","0","0","0","0","1","0","0","0","0"
"325",1991,"JFK","0","1","0","0","0","0","0","0","0"
"326",1991,"Terminator 2: Judgment Day","0","0","0","0","0","0","0","1","0"
"327",1991,"The Fisher King","0","0","0","0","0","0","1","0","0"
"328",1991,"The Silence of the Lambs","1","0","1","1","0","1","0","0","0"
"329",1992,"Aladdin","0","0","0","0","0","0","0","0","1"
"330",1992,"Howards End","0","0","0","0","0","1","0","0","0"
"331",1992,"My Cousin Vinny","0","0","0","0","0","0","1","0","0"
"332",1992,"Scent of a Woman","0","0","0","1","0","0","0","0","0"
"333",1992,"The Last of the Mohicans","0","0","0","0","0","0","0","1","0"
"334",1992,"Unforgiven","1","1","1","0","1","0","0","0","0"
"335",1993,"Jurassic Park","0","0","0","0","0","0","0","1","0"
"336",1993,"Philadelphia","0","0","0","1","0","0","0","0","1"
"337",1993,"Schindler's List","1","1","1","0","0","0","0","0","0"
"338",1993,"The Fugitive","0","0","0","0","1","0","0","0","0"
"339",1993,"The Piano","0","0","0","0","0","1","1","0","0"
"340",1994,"Blue Sky","0","0","0","0","0","1","0","0","0"
"341",1994,"Bullets over Broadway","0","0","0","0","0","0","1","0","0"
"342",1994,"Ed Wood","0","0","0","0","1","0","0","0","0"
"343",1994,"Forrest Gump","1","1","1","1","0","0","0","0","0"
"344",1994,"Speed","0","0","0","0","0","0","0","1","0"
"345",1994,"The Lion King","0","0","0","0","0","0","0","0","1"
"346",1995,"Apollo 13","0","1","0","0","0","0","0","1","0"
